p21 =

  -21.0000   80.0000
  -14.3333   84.4444
   -9.0000   84.4444
   -5.0000   80.0000
   -1.1111   74.2222
    3.8889   70.2222
   10.0000   68.0000
   15.8333   67.8889
   20.0000   70.2222
   22.5000   75.0000
   24.7222   80.6667
   28.0556   85.6667
   32.5000   90.0000
   37.2222   92.4444
   41.3889   91.7778
   45.0000   88.0000
   48.8889   85.2222
   53.8889   87.5556
   60.0000   95.0000



p22 =

   60.0000   95.0000
   67.0247   90.4753
   73.0729   90.6771
   78.1055   93.7695
   82.0833   97.9167
   85.0586  101.5794
   87.4479  104.4063
   89.7591  106.3424
   92.5000  107.3333
   96.0417  107.3320
  100.2083  106.3229
  104.6875  104.2982
  109.1667  101.2500
  113.5547   97.3477
  118.6458   93.4688
  135.0000   90.0000
